"Ctrl","Code","Cat","Len"
"AccountMap","200","ok","54173"
"Accounts","200","denied","4057"
"AccountSummary","404","no-index","0"
"AdditionalMC","200","ok","50295"
"AMC","200","ok","97770"
"AMCContractName","200","ok","54488"
"AMCContractType","200","ok","54422"
"AMCPeriodicMaintenance","200","ok","71187"
"AMCPeriodicProcessFlow","200","ok","49570"
"AMCProcessFlow","200","ok","49635"
"AMCStatus","200","ok","48321"
"Area","200","ok","46585"
"AssetFromInventory","200","ok","74323"
"Assetpurchase","200","ok","62720"
"AssetToInventory","200","ok","67393"
"AssetTransfers","200","ok","66151"
"BackUpRestore","404","no-index","0"
"BalanceSheet","404","no-index","0"
"Barcode","200","denied","4057"
"BillSundry","200","denied","4057"
"BOM","200","denied","4057"
"Boq","200","ok","63478"
"Branch","200","denied","4057"
"BRS","200","ok","50294"
"BundleOffer","200","denied","4057"
"Category","200","ok","54415"
"Checklist","200","ok","46260"
"ChequeBook","200","ok","54661"
"ChequePrinting","200","ok","51391"
"City","200","ok","48713"
"Company","404","no-index","0"
"CompanyHeader","200","ok","46262"
"Contact","200","denied","4057"
"ContactType","200","ok","54421"
"ContraVoucher","200","denied","4057"
"CreditNote","200","ok","59600"
"CreditSale","200","ok","175350"
"CreditSaleReturn","200","denied","4057"
"CreditSaleReturnNote","200","denied","4057"
"CrossHireReturn","200","denied","4057"
"CurrencyMaster","200","denied","4057"
"Customer","200","denied","4057"
"CustomerMerge","200","denied","4057"
"CustomerRelation","200","ok","76024"
"CustomerReport","404","no-index","0"
"CustomerType","200","ok","54396"
"DayBook","200","denied","4057"
"Deliverynote","200","denied","4057"
"Department","200","denied","4057"
"Designation","200","denied","4057"
"DrNote","200","ok","59624"
"EmailTemplate","200","denied","4057"
"Employee","200","denied","4057"
"EmployeeAttendance","200","ok","78325"
"EnableSetting","200","denied","4057"
"Error","200","ok","1519"
"Estimate","200","ok","3969220"
"FileDocument","200","ok","95970"
"filedocumentstore","200","ok","66482"
"FileManager","404","no-index","0"
"FinalAccounts","404","no-index","0"
"FinancialYear","500","ERROR","3204"
"Forecast","200","ok","101210"
"geowall","200","ok","54098"
"HireReturn","200","denied","4057"
"HireStockReport","200","denied","4057"
"HireType","200","ok","48453"
"Home","200","ok","75663"
"ImportExcel","404","no-index","0"
"Installation","302","http302","0"
"Inventory","200","denied","4057"
"InvoiceLayout","200","ok","48607"
"Item","200","denied","4057"
"ItemBrand","200","denied","4057"
"ItemBundle","200","denied","4057"
"ItemCategory","200","denied","4057"
"ItemColor","200","denied","4057"
"ItemSerialNumber","500","ERROR","3207"
"ItemSize","200","denied","4057"
"ItemSizePrice","200","ok","47930"
"ItemTask","200","ok","48273"
"ItemUnit","200","denied","4057"
"JobCard","200","denied","4057"
"Journal","200","denied","4057"
"JournalV","200","denied","4057"
"LeadChecklists","200","ok","46660"
"LeadCondition","200","ok","54444"
"leaddashboardorder","200","ok","54077"
"LeadLevel","200","ok","54386"
"LeadProcessFlow","200","ok","50050"
"LeadRejection","200","ok","54566"
"Leads","200","ok","104860"
