"ModulesID","Parent","IsParent","Status","MenuOrder","viewName","Name","Link"
"1000","0","0","0","1","Customer Relation","Customer Relation","#"
"1046","0","0","0","2","Vendor Relation","Vendor Relation","#"
"1052","0","0","0","4","Inventory","Inventory","#"
"1054","0","0","0","3","Field Service","Field Service","#"
"1060","0","0","0","5","Accounts","Accounts","#"
"1067","0","0","0","6","Human Resources","Human Resources","#"
"1069","0","0","0","7","Settings","Company","#"
"234343600","0","0","0","8","Real Estate","Real Estate","#"
"234343700","0","0","0","9","EOS","EOS","#"
"158","28","1","0","100","Create Tax","Create Tax","/Tax/Create"
"159","28","1","0","100","Edit Tax","Edit Tax","/Tax/Edit"
"292","47","1","0","10","Customer Item Wise","Sales Customer ItemWise","/SalesReport/CustomerItemWise"
"6047","47","1","0","9","Sales Report - Salesman / Sales Executive ","Sales Report - Salesman / Sales Executive ","/SalesReport/employeesales"
"6048","47","1","0","8","Sales Profit - Department","Sales Profit - Department","/SalesReport/SalesProfitdepartment"
"72","71","1","0","0","Recievable Outstanding","Recievable Outstanding","/MyReports/Receivable"
"73","71","1","0","1","Payable Outstanding","Payable Outstanding","/MyReports/Payable"
"416","71","1","0","3","Cust. Outstanding Salesman wise","Amount ReceivablePayable","/MyReports/AmountReceivablePayable"
"429","71","1","0","4","Purchase Order Outstanding","POrder Outstanding","/MyReports/POrderOutstanding"
"430","71","1","0","5","Sales Order Outstanding","SOrder Outstanding","/MyReports/SOrderOutstanding"
"6040","71","1","0","5","Amount Receivable & Payable","Amount ReceivablePayable model2","/MyReports/AmountReceivablePayable2"
"6046","71","1","0","4","Cust. Outstanding Sales Exec. wise","Cust. Outstanding Sales Exec. Wise","/MyReports/AmountReceivablePayable3"
"6105","71","1","0","1","Sales Ledger","Sales Ledger","/MyReports/ReceivableLedger"
"6113","71","1","0","3","Supplier Payment Clear","Supplier Payment Clear","/MyReports/PayableClear"
"234343459","71","1","0","2","Amount Receivable Sales Man List","Amount Receivable Sales Man List","/MyReports/AmountReceivablePayablesalesman"
"492","80","1","1","10","Sticker Printing","Sticker Printing","/PackingList/Sticker"
"222","81","1","0","100","Delete Contact","Delete Contact","/Contact/Delete"
"11","212","1","0","1","Create","Pro Forma Entry","/ProForma/Create"
"12","212","0","0","2","List","Pro Forma List","/ProForma/Index"
"13","213","1","0","1","Create","Deliverynote Entry","/Deliverynote/Create"
"14","213","0","0","2","List","Deliverynote List","/Deliverynote/Index"
"87","224","0","0","2","List","Sales Executives List","/SalesExecutive/Index"
"188","224","1","0","1","Create","Create Sales Executive","/SalesExecutive/Create"
"189","224","1","0","100","Edit Sales Executive","Edit Sales Executive","/SalesExecutive/Edit"
"190","224","1","0","100","Delete Sales Executive","Delete Sales Executive","/SalesExecutive/Delete"
"231","230","1","0","1","Create","Create JobCard","/JobCard/Create"
"232","230","0","0","2","List","JobCard List","/JobCard/Index"
"238","230","1","0","2223","JobCard Setting","JobCard Setting","/JobCard/JobCardSetting"
"233","232","1","0","100","Edit JobCard","Edit JobCard","/JobCard/Edit"
"235","232","1","0","100","View JobCard","View JobCard","/JobCard/Details"
"234343434","232","1","0","100","Delete JobCard","Delete JobCard","/JobCard/Delete"
"246","245","0","0","2","List","Production List","/Production/Index"
"247","245","1","0","1","Create","Create Production","/Production/Create"
"248","246","1","0","1","Edit","Edit Production","/Production/Edit"
"249","246","1","0","10","Delete","Delete Production","/Production/Delete/"
"250","246","1","0","10","View","View Production","/Production/Details/"
"252","251","0","0","2","List","Unassemble List","/Unassemble/Index"
"253","251","1","0","1","Create","Create Unassemble","/Unassemble/Create"
"254","252","1","0","1","Edit","Edit Unassemble","/Unassemble/Edit"
"255","252","1","0","10","Delete","Delete Unassemble","/Unassemble/Delete/"
"256","252","1","0","10","View","View Unassemble","/Unassemble/Details/"
"284","283","0","0","1","Item List","Item List","#"
"1069","283","1","0","4","Database Backup","Database Backup","/BackUpRestore/BackUp"
"285","284","1","0","1","Show Sales Price","ItemSalesPrice","#"
"286","284","1","0","2","Show Purchase Price","ItemPurchasePrice","#"
"287","284","1","0","3","Show Last Sale Price","ItemlastSalesPrice","#"
"288","284","1","0","3","Show Last Purchase Price","ItemlastPurchasePrice","#"
"295","294","1","0","1","Create","Create FileDocument","/FileDocument/Create"
"296","294","0","0","2","List","FileDocument List","/FileDocument/Index"
"298","294","1","0","100","Delete","Delete FileDocument","/FileDocument/Delete"
"234343587","294","1","0","10","My documents","My documents","/FileDocument/myfiles"
"234343588","294","1","0","10","Change assign person","Change assign person","/Customer/movedocumentassign"
"297","296","1","0","100","Edit","Edit FileDocument","/FileDocument/Edit"
"299","296","1","0","100","Download","Download FileDocument","/FileDocument/DownloadFile"
"337","336","1","0","100","Create","Create Prefix","/PrefixMaster/Create"
"338","336","1","0","100","Edit","Edit Prefix","/PrefixMaster/Edit"
"339","336","1","0","100","Delete","Delete Prefix","/PrefixMaster/Delete"
"341","340","1","0","100","Create","Create Currency","/CurrencyMaster/Create"
"342","340","1","0","100","Edit","Edit Currency","/CurrencyMaster/Edit"
"343","340","1","0","100","Delete","Delete Currency","/CurrencyMaster/Delete"
"345","344","1","0","1","Create","Create StockVerification","/StockVerification/Create"
"346","344","0","0","2","List","StockVerification List","/StockVerification/Index"
"347","346","1","0","100","Edit","Edit StockVerification","/StockVerification/Edit"
"348","346","1","0","100","Delete","Delete StockVerification","/StockVerification/Delete"
"349","346","1","0","100","View","View StockVerification","/StockVerification/Details"
"352","351","1","0","5"," Cash Or Credit","CashOrCredit SaleSummary","/SalesReport/CashOrCredit"
"635","351","1","0","10","Customer ItemWise","CustomerItemWiseSummary","/SalesReport/CustomerItemWiseSummary"
"476","364","0","0","3","Project Status","ProjectStatus","/ProjectStatus/Index"
"400","399","0","0","2","List","HireReturn List","/HireReturn/Index"
"401","399","1","0","1","Create","HireReturn Entry","/HireReturn/Create"
"402","400","1","0","100","Edit HireReturn","Edit HireReturn","/HireReturn/Edit"
"403","400","1","0","100","Delete HireReturn","Delete HireReturn","/HireReturn/Delete"
"404","400","1","0","100","View HireReturn","View HireReturn"," /HireReturn/Details"
"405","400","1","0","100","Download HireReturn","Download HireReturn","/HireReturn/Download"
"413","400","1","0","100","All HireReturn Entry","All HireReturn Entry","#"
"408","407","1","0","1","As On Date","HireStock As On Date","/HireStockReport/OnDate"
"409","407","1","0","0","Till Date","Till Date HireStock","/HireStockReport/Index"
"410","407","1","0","2","Item Wise","HireStock Item Wise","/HireStockReport/ItemWise"
"411","407","1","0","3","Category Wise","HireStock Category Wise","/HireStockReport/CategoryWise"
